index,verbatimScientificName,locality,stateProvince,decimalLatitude,decimalLongitude,eventDate,basisOfRecord,institutionCode
0,Sylvilagus floridanus,,Coahuila,25.373665,-100.495367,2014-05-16,HUMAN_OBSERVATION,iNaturalist
1,Lepus californicus,,Nuevo León,25.084744,-100.714545,2014-06-01,HUMAN_OBSERVATION,iNaturalist
2,Lepus californicus,,Nuevo León,25.087698,-100.713322,2014-06-01,HUMAN_OBSERVATION,iNaturalist
3,Sylvilagus audubonii,,Nuevo León,25.060069,-100.722721,2014-06-01,HUMAN_OBSERVATION,iNaturalist
4,Lepus californicus,12 km S of Camacho,Zacatecas,22.3022271,-103.390215,1977-07-11,PRESERVED_SPECIMEN,MSU
5,Lepus californicus,3 km W of San Felipe de Nuevo Mercurio (Rancho San Marcos),Zacatecas,24.2290052,-102.1812157,1977-07-13,PRESERVED_SPECIMEN,MSU
6,Sylvilagus floridanus,5 mi. W of Huichopan,Hidalgo,20.3752943,-99.726788,1964-07-15,PRESERVED_SPECIMEN,MSU
7,Sylvilagus audubonii parvulus,6.5 mi. W Nadadores,Coahuila,27.0294563,-101.6864507,1959-07-25,PRESERVED_SPECIMEN,MSU
8,Lepus californicus,32 km SW of Caopas,Zacatecas,24.5768521,-102.3809491,1977-07-11,PRESERVED_SPECIMEN,MSU
9,Lepus californicus,9.5 km E of La Colorada,Zacatecas,23.3834852,-103.6704204,1978-07-09,PRESERVED_SPECIMEN,MSU
10,Sylvilagus floridanus chapmani,7 mi. W La Pesca,Tamaulipas,23.7873725,-97.8831455,1961-08-11,PRESERVED_SPECIMEN,MSU
13,Sylvilagus audubonii parvulus,6 mi. N. Chocolate,Durango,25.3815417,-103.6313447,1961-07-21,PRESERVED_SPECIMEN,MSU
15,Sylvilagus audubonii parvulus,10 mi. S Cuatro,Coahuila,26.8406069,-102.0668741,1959-08-01,PRESERVED_SPECIMEN,MSU
16,Lepus californicus,3 km W of San Felipe de Nuevo Mercurio (Rancho San Marcos),Zacatecas,24.2290052,-102.1812157,1977-07-13,PRESERVED_SPECIMEN,MSU
19,Sylvilagus audubonii minor,12 mi. NW La Resolana,Durango,26.2265561,-105.1254176,1960-07-14,PRESERVED_SPECIMEN,MSU
20,Sylvilagus audubonii parvulus,Hda. Atotonilco,Durango,24.7375879,-103.8363465,1968-04-24,PRESERVED_SPECIMEN,MSU
21,Sylvilagus audubonii,3 km W of San Felipe de Nuevo Mercurio (Rancho San Marcos),Zacatecas,24.2290052,-102.1812157,1977-07-11,PRESERVED_SPECIMEN,MSU
23,Lepus californicus,1.5 mi. W Bermejillo,Durango,25.8883825,-103.6442845,1959-08-10,PRESERVED_SPECIMEN,MSU
